""TranscriptID" "ctrl1_sorted" "ctrl2_sorted" "ctrl3_sorted" "de1_sorted" "de2_sorted" "de3_sorted"
"ENST00000000233.10" 184 171.71795 176.38686 57.10638 87.81333 61.01887
"ENST00000000412.8" 102.18663 86.26154 126.7752 116 58.30727 115.30755
"ENST00000000442.11" 4.57339 0 0 0 0 0
"ENST00000001008.6" 32 11 13 14 32 16
"ENST00000001146.7" 0 3 3 7 6 10
"ENST00000002125.9" 7 5 4.5 7.875 8 1.4
"ENST00000002165.11" 7 32 26 35 85 17
"ENST00000002501.11" 9.75 1 1 3 0 4
"ENST00000002596.6" 1 4 3 5 1 1
"ENST00000002829.8" 0 0 2 1 0 0
"ENST00000003100.13" 24 10 38 78 62 14
"ENST00000003302.8" 12 8 6 3.71429 0 4.5
"ENST00000003912.7" 20.8 12 17 0 0 17.81179
"ENST00000004103.8" 12.98589 12.23079 19.69449 69.13489 122.70491 64.22379
"ENST00000004982.6" 107 133 95 63 109 95.97129
"ENST00000005178.6" 61.36721 63.46155 98 51.36151 51 53.7936
"ENST00000005257.7" 78.98722 78 78.97378 73.91534 68.98508 88.9887
"ENST00000005259.9" 10 0 14 7 9 7
"ENST00000005260.9" 16 10 22 3 1 10
"ENST00000005284.4" 6 3 6 8 4 10
"ENST00000005286.8" 0 0 1 0 3 4.5
"ENST00000005340.10" 14 1 6 5 5 6
"ENST00000005386.8" 17.68421 5 19.82609 2 6 8
"ENST00000005995.8" 2 1 1 1 0 3
"ENST00000006015.4" 2 0 4 0 0 0
"ENST00000006053.7" 7.82695 11.18104 2.79011 0 0 0
"ENST00000006275.8" 14.11765 20.16667 21 8.72727 0 20.44444
"ENST00000006777.11" 29.54545 32.45714 37.52 12.69231 5.33333 16.875
"ENST00000007264.7" 2.86733 1.47903 0 1.42515 0 3.98362
"ENST00000007390.3" 12 19 6 19 12 4
"ENST00000007414.8" 5 0 3 0 1 0
"ENST00000007510.9" 1 0.5 4 0 0 3.75
"ENST00000007516.8" 375.96226 472 487.92763 331.9361 382.86726 324.89492
"ENST00000007969.12" 0.5 4 5.52991 6.66667 3 7.87351
"ENST00000008180.13" 0 0 1.15708 3.33837 0 5.33625
"ENST00000008527.10" 18 11.33333 21.31579 30.69231 12.23529 42.77778
"ENST00000008876.7" 1 10.42299 6.42625 10 11 6.42185
"ENST00000009041.12" 13 16 19.6 59.87756 12.91813 19
"ENST00000009180.10" 0 7.22593 31.48852 59.12936 32.24176 61.19297
"ENST00000009530.13" 420.88979 334.32561 286.89989 62.16918 78.51933 49.51998
"ENST00000010404.6" 0 2.43312 1.23192 2.57837 1.20781 1.28745
"ENST00000011473.6" 0 0 0 0 0 0
"ENST00000011619.6" 11 3.46739 17.7546 8 5 16
"ENST00000011653.9" 5 12 10 8 6 19
"ENST00000011691.6" 48.93366 32.10269 24.66298 30.3497 57.43201 27.17136
"ENST00000011898.10" 67 87.19992 35.33329 65 29 0
"ENST00000012049.10" 10.66667 5 0.66667 5 7 2
"ENST00000012134.7" 0 5 0 1.33333 0 0
"ENST00000012443.9" 9.68939 30.94087 13.89474 0 7.33333 0
"ENST00000013070.11" 21 13 9 5 8 26
"ENST00000013125.9" 2.59024 3.5 0 3.47009 3.47345 0.96904
"ENST00000013222.5" 5 15 13 15 32 12
"ENST00000013807.9" 7.16193 11.79408 19.99318 6.32198 9.98128 8.6237
"ENST00000014914.6" 36 31 36 25 27 41
"ENST00000014930.9" 45 30 21 22 23 30
"ENST00000014935.7" 0 1.63583 1.45027 2.30958 1.29131 1
"ENST00000016171.6" 23.86364 19.95652 14.76923 36.26986 21.47368 24.63158
"ENST00000016946.8" 3.0609 7.52839 10.43173 10.88841 12.16622 18
"ENST00000017003.7" 8.125 19 25.23924 5.02089 19 5
"ENST00000019019.6" 1.125 5.95238 15.33333 5.52632 3.23077 3.69231
"ENST00000019317.8" 33.85127 14.92802 17.57732 28.96421 0 0
"ENST00000020926.8" 1 7 8 1 8 4
"ENST00000020945.4" 20.65884 19.94507 36.08261 19.56449 39.29398 24.7698
"ENST00000022615.9" 282 138 271 191 152 185
"ENST00000023939.8" 3.13333 28.17073 18.6 11.97468 16.72551 27.68182
"ENST00000025008.10" 20 45 73.04348 12 18 9.2
"ENST00000025301.4" 42 16 11 26 28 36
"ENST00000028008.9" 0 0 0 0 3.47848 2.13838
"ENST00000029410.10" 9.1 7.53846 4 0 3 15
"ENST00000031146.8" 0 8.5 0 0 0 0
"ENST00000033079.7" 10.5 6.5 9 1.5 2.25 10.66667
"ENST00000035307.7" 18 4 14.84039 7.96475 6.62279 3
"ENST00000037243.7" 442.60046 474.62484 399.7421 419.88047 328.01133 555.03668
"ENST00000037502.11" 0 3 0 0 1 0
"ENST00000037869.8" 21 27 13.41667 16 11.45455 11
"ENST00000038176.8" 5.4 5 7 8.57143 11 3
"ENST00000039989.9" 0 0 0 0 0 0
"ENST00000040584.6" 15 9 1 9 15 9
"ENST00000040663.8" 15 8.57143 16.875 5.5 0 2
"ENST00000040738.10" 8.26075 12.66667 25 18.5 19.33333 0
"ENST00000040877.2" 5.39424 1.25 8.88889 3 3 4.5
"ENST00000042381.9" 0 8.25 0 0 0 2.53696
"ENST00000043402.8" 0 0 0 0 4 1
"ENST00000044462.12" 209.95114 181.9661 181.90813 285.95394 422.94988 466.80194
"ENST00000045083.6" 1.5 0.5 1.5 0 1.5 3
"ENST00000046640.9" 1 1 2 1 3 3
"ENST00000046794.10" 1 8 0 4 0 2
"ENST00000052569.10" 15.75345 7.39656 5.5 7.61811 0 0
"ENST00000052754.10" 582.28764 435.97691 396.20941 673.82776 815.07704 629.00584
"ENST00000053468.4" 55 58 31 36 24 46
"ENST00000053867.8" 176 203.60656 175.59459 223.50769 234.17476 198.85955
"ENST00000054650.9" 25 5 20 8 11 9
"ENST00000054666.11" 72 80 92 82 75 111
"ENST00000054950.4" 83.36387 74.80528 39.75303 70 76.46089 91.10285
"ENST00000055077.8" 4 3 14 6 4 10
"ENST00000055335.11" 6 5 1 6 8 2
"ENST00000056217.10" 2 3 4 6 2 3
"ENST00000056233.4" 2 0 0 0 0 1.22696
"ENST00000057513.8" 0 0 0 13 1 1
"ENST00000060969.6" 0 42.96492 0 7.14972 2.5 3.5
"ENST00000061240.7" 2 0 1 0 4 0
"ENST00000064724.8" 119.23384 176.08352 136.9856 316.21401 271.23831 291.00759
"ENST00000064778.8" 29 13 19 13 8 0
"ENST00000064780.7" 3 0 0 3.31587 1 1.47525
"ENST00000066544.8" 14 3 6 14 10 18
"ENST00000070846.11" 0 1.66584 0.5 4.4 3.17477 5
"ENST00000072516.7" 2.81623 3 1.5 1 0 11
"ENST00000072644.7" 41.36364 56.71667 22.48387 66.39474 56.34146 66.16216
"ENST00000072869.9" 0 1 5 8 1 4
"ENST00000075120.12" 52.0462 22.56927 13.66475 3.12317 0 15.84508
